id,created_at,text
344570329139642368,2013-06-11 21:42:22,"If you were using a legacy widget that no longer functions after API v1 retirement, we suggest using https://t.co/QOpRs58lAk instead."
344567680935809025,2013-06-11 21:31:51,Looking for a library that supports API v1.1? Check out https://t.co/mTbGZ5wlPb
344567017875046400,2013-06-11 21:29:13,We will begin 410ing inbound API v1 traffic now. We will gradually ramp up over the next several minutes. More info: https://t.co/WyWlFwutwb
344563476032790528,2013-06-11 21:15:09,We're starting the retirement process a little later than expected; we'll tweet as we begin closer to 2:30pm.
344542397608361984,2013-06-11 19:51:23,"API v1 Retirement will happen today, beginning sometime after 1:30PM PDT. We'll tweet as we ramp up. What to expect: https://t.co/WyWlFwutwb"
344477126017306625,2013-06-11 15:32:01,"Embedded Timelines now allow for dynamic, client-side selection of users and lists. Details from @benward: https://t.co/Aqd9bPPKTt"
340187647555301376,2013-05-30 19:27:10,The Twitter Certified Products Program expands to include 11 additional products https://t.co/gAkA9XhAda
337613468482011136,2013-05-23 16:58:18,.@al3x thank you for creating us 6 years ago today. we are forever grateful.
337309045331460097,2013-05-22 20:48:37,"API v1 blackout testing is just about complete. API v1 will retire permanently on June 11, 2013. Upgrade to 1.1: https://t.co/zQjaRCjQWO"
337305708037021697,2013-05-22 20:35:22,API v1 blackout testing is currently underway. See https://t.co/D7EBX18HIG for details.
337304163144835073,2013-05-22 20:29:13,API v1 blackout testing is still underway. We're gradually increasing the amount of v1 traffic being sent HTTP 410.
337302238613610496,2013-05-22 20:21:35,API v1 blackout testing has begun. Requests to deprecated resources will return HTTP 410.
337298409574764544,2013-05-22 20:06:22,We'll begin API v1 blackout testing shortly. See https://t.co/D7EBX18HIG to know what to expect. We'll tweet as it begins.
335488073712427009,2013-05-17 20:12:44,"We'll be performing additional API v1 Blackout Testing on May 22, 2013 at 20:00 UTC. https://t.co/f1GP88yGnZ"
334012446039744512,2013-05-13 18:29:07,We have deprecated HTTP 1.0 support for the Streaming API: https://t.co/JfieFem8Kf
330369772619452416,2013-05-03 17:14:26,"We're extending API v1 Retirement until June 11, 2013. https://t.co/Nb7PJrnZvx"
329974356635697152,2013-05-02 15:03:11,"New configuration options for Embedded Timelines: disable scrollbars, limit # of tweets, more control over loading: https://t.co/R15FIitZoI"
329282336812318720,2013-04-30 17:13:21,RT @TwitterEng: Summer of Code projects at Twitter span multiple programming languages &amp; open source communities. Read more: http://t.c…
328996997635911680,2013-04-29 22:19:31,"Please welcome Craig Wright (@c_r_w) to the @twitterapi team. Not sure he knows what he's in for, but too late now! :)"
326744560661299201,2013-04-23 17:09:08,A @twitterapi Recap of the First Quarter of 2013 https://t.co/tUO3efCB1O
325309305693814785,2013-04-19 18:05:57,"A Twitter for Websites update - 
deprecating IE6 and IE7 support: https://t.co/EQtcVnON0A"
324303810472316928,2013-04-16 23:30:28,We're wrapping blackout testing for today. Requests to API v1 will resume full fidelity soon. Detail: https://t.co/4h1nOIJYJ4
